a,b,c
31,35,89
40,82,46
68,79,28
53,92,70
11,74,6
59,84,61
99,20,30
19,2,94
36,39,73
15,46,2
2,96,69
67,26,60
37,24,21
18,93,72
85,39,23
31,63,32
74,98,6
51,16,45
71,91,99
77,14,47
5,95,73
62,64,27
77,73,43
75,81,12
40,75,79
50,41,31
26,86,57
37,58,22
87,77,22
13,30,19
3,37,88
91,52,17
92,39,69
45,91,48
45,28,98
68,1,68
96,60,2
65,4,98
52,7,93
2,9,1
66,12,19
45,75,31
99,72,96
73,5,67
27,50,10
61,63,16
67,5,83
26,54,97
82,91,72
16,92,62
54,82,10
31,16,2
61,45,23
81,55,17
12,35,84
31,78,34
97,49,32
74,99,78
42,85,28
59,23,48
93,68,15
87,25,63
38,71,38
73,63,47
83,94,31
19,36,87
82,91,36
66,67,6
11,10,35
85,63,41
57,82,4
45,7,56
12,31,41
19,25,56
15,85,95
45,3,24
13,15,21
41,91,70
23,73,34
48,79,25
56,15,10
1,55,10
28,2,45
5,57,52
21,35,33
36,53,18
38,77,35
90,5,84
100,20,24
19,91,39
97,86,41
43,80,19
12,1,6
75,66,56
97,24,58
87,12,3
81,60,17
65,74,9
92,70,82
43,43,57
68,17,19
3,45,70
65,92,8
26,98,41
78,39,23
60,37,32
58,99,6
66,17,70
56,2,83
11,66,17
50,2,53
83,9,31
86,50,26
40,52,30
68,58,80
21,88,27
98,35,68
64,96,63
90,30,63
2,32,4
73,60,88
99,11,88
84,43,11
11,19,22
60,71,89
55,27,52
57,35,21
31,24,43
83,26,54
26,90,64
58,57,71
61,74,41
15,97,64
40,86,28
71,68,33
75,50,13
74,76,31
31,79,23
20,5,97
87,32,55
71,45,87
56,84,50
48,22,5
25,15,4
51,49,50
20,96,77
62,100,59
78,84,43
47,39,60
14,29,14
63,39,92
57,75,41
64,62,65
58,99,66
97,64,14
70,28,95
74,80,87
36,86,62
82,64,31
68,43,72
70,25,19
28,73,26
83,75,91
91,7,85
19,12,23
25,63,40
53,27,14
78,21,22
64,49,28
75,83,88
81,57,92
82,81,85
32,62,22
14,21,41
9,51,76
81,7,87
84,40,93
39,34,99
52,90,33
76,72,36
66,99,42
73,74,31
76,45,62
15,42,13
31,93,35
19,20,18
24,22,21
72,14,18
35,92,69
5,95,93
30,61,50
49,68,91
12,77,7
83,25,50
86,7,23
47,69,33
89,92,17
4,49,100
100,27,28
27,40,23
3,96,85
91,52,89
32,26,37
76,46,9
17,89,22
22,43,71
95,62,20
34,64,10
70,89,56
11,88,68
76,6,97
61,60,5
60,37,5
4,73,81
3,13,10
51,72,79
95,43,54
63,76,83
35,53,29
80,35,35
93,18,25
89,28,2
33,43,55
48,75,89
66,16,63
69,89,29
62,93,72
48,80,89
13,44,25
44,41,54
19,38,33
100,63,42
98,99,75
55,78,42
10,65,60
10,26,33
2,61,23
5,53,25
14,81,74
23,62,89
25,80,78
99,64,6
34,14,77
88,22,25
93,54,87
44,15,70
75,10,83
3,83,4
99,63,45
5,80,1
98,3,93
9,95,28
37,63,59
87,32,75
89,26,4
25,10,89
53,47,6
85,30,89
15,91,36
4,83,46
12,2,30
2,47,95
55,50,59
51,68,65
43,65,19
28,42,6
71,90,28
60,53,9
84,72,54
92,27,84
5,4,19
43,99,4
3,7,85
3,75,96
49,37,59
83,53,16
39,79,64
95,28,44
50,100,47
12,9,13
92,73,19
65,71,57
14,88,25
37,2,22
95,60,65
52,84,74
87,69,99
39,30,99
57,69,22
21,45,59
21,50,16
9,99,31
63,18,81
44,6,39
99,27,15
78,69,94
14,93,8
77,4,83
12,26,31
48,61,42
80,8,33
44,71,35
26,4,63
26,12,76
14,42,33
28,69,95
47,95,6
94,39,55
70,15,86
57,29,26
63,98,45
5,61,15
62,41,48
96,49,24
78,28,67
69,68,17
39,92,84
74,66,48
99,26,22
44,97,72
18,79,69
58,65,35
38,81,100
84,79,72
43,45,12
54,58,95
87,62,67
46,40,41
69,36,25
100,70,86
71,67,67
42,80,76
43,62,42
83,11,13
63,37,8
12,69,29
23,72,2
40,4,40
55,36,22
56,51,40
68,21,73
16,12,87
23,5,78
71,66,54
26,64,76
86,53,3
33,70,12
78,54,7
70,23,29
8,19,75
9,13,2
49,85,94
52,55,91
59,60,24
56,54,58
13,99,55
30,83,4
62,23,20
20,90,16
59,53,21
9,37,92
64,96,34
89,23,27
17,35,3
67,29,82
1,79,57
85,52,93
5,68,72
95,67,47
93,83,76
29,3,29
77,42,23
2,65,85
54,88,39
45,10,16
63,93,1
91,36,35
8,13,3
64,77,49
6,98,23
16,14,90
99,64,67
71,66,86
64,12,55
58,69,67
55,38,18
95,21,61
11,23,97
27,36,88
52,62,35
99,56,71
86,77,20
81,61,10
27,4,84
71,2,62
15,64,38
34,55,39
38,56,31
56,42,88
8,26,84
9,19,9
23,31,15
26,37,39
42,63,93
55,36,5
66,46,99
89,20,9
68,37,27
51,6,39
37,38,11
57,1,91
37,82,88
92,1,7
67,33,41
92,10,55
27,63,16
29,11,20
96,23,45
91,23,11
33,97,100
38,52,92
17,89,62
2,54,57
70,36,9
55,65,30
69,15,36
2,54,31
52,4,55
16,82,4
3,62,67
15,88,38
76,2,15
95,85,87
22,6,34
99,87,94
57,20,58
20,57,70
58,6,42
16,64,50
86,81,86
22,99,95
60,78,53
8,15,95
82,27,8
58,23,37
12,78,10
83,99,13
69,26,78
78,21,99
98,93,64
72,34,91
75,8,77
47,37,99
16,46,16
21,21,40
85,10,22
95,32,43
73,9,82
28,34,78
7,77,1
42,99,95
50,12,30
83,57,16
42,33,81
50,86,67
95,82,22
91,83,31
25,97,3
30,63,21
87,71,54
100,8,78
38,59,43
59,80,42
8,89,39
96,67,90
25,94,60
8,27,53
47,60,57
12,32,76
3,40,73
59,59,48
