Path,Type,Size
C:\Elena\GeekBrains\diving_into_python\homeworks,Directory,173187
C:\Elena\GeekBrains\diving_into_python\homeworks\file.json,File,5681
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_1,Directory,7829
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_1\hw1_1.py,File,2875
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_1\hw1_2.py,File,2875
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_1\hw1_3.py,File,861
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_1\hw1_dop1.py,File,548
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_1\hw1_dop2.py,File,670
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_2,Directory,3611
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_2\hw2_1.py,File,1889
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_2\hw2_2.py,File,1722
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_3,Directory,5711
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_3\hw3_1.py,File,1806
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_3\hw3_2.py,File,3327
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_3\hw3_3.py,File,578
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_4,Directory,15043
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_4\hw4_1.py,File,1361
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_4\hw4_2.py,File,1869
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_4\hw4_3.py,File,11813
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_5,Directory,4105
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_5\hw5_1.py,File,2171
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_5\hw5_2.py,File,1277
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_5\hw5_3.py,File,657
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_6,Directory,16986
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_6\hw6_1.py,File,3111
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_6\hw6_2.py,File,3207
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_6\hw6_3.py,File,3432
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_6\__pycache__,Directory,3618
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_6\__pycache__\hw6_2.cpython-311.pyc,File,3618
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_7,Directory,15078
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_7\hw7_1.py,File,3596
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_7\hw7_1_ethalon.py,File,3354
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_7\hw7_1_other.py,File,2995
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_7\hw7_2.py,File,786
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_7\hw7_2_ethalon.py,File,751
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_7\__init__.py,File,3596
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_8,Directory,15390
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_8\hw8_1.py,File,11418
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_8\hw8_2.py,File,0
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_8\task_8_1,Directory,1986
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_8\task_8_1\file.csv,File,491
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_8\task_8_1\file.json,File,939
C:\Elena\GeekBrains\diving_into_python\homeworks\homework_8\task_8_1\file.pickle,File,556
